title,genre,duration
The Shining,Horror,145
Newswatch 16 at 10pm,News,30
Beautiful Creatures,Fantasy,135
Stella and Sam,Children,18
Fresh Faces,Music,60
Storage Wars,Reality,30
Air Force News,News,30
Peoples Choice Awards 2015,Special,120
NFL Monday QB,Sports non-event,60
The Originals,Drama,60
Lesson Tee Live,Sports non-event,60
Comedy Central Presents,Comedy,22
Jersey Shore,Reality,60
My Sisters Keeper,Drama,120
The Girls Guide to Depravity,Adults only,30
In Living Color,Comedy,30
The Rachel Maddow Show,Talk,60
Gaithers Homecoming,Religious,60
Wahlburgers,Reality,30
Utah Blaine,Western,80
Suzanne Somers Beauty Health & Fitness,Shopping,60
21 DAY FIX,Consumer,30
Fox 43 Morning News at 6:00am,News,60
Sleep Sex,Special,60
Rides,Documentary,60
Keeping Up With the Kardashians,Reality,60
Friday Night Lights,Drama,150
Sell This House: Extreme,Reality,60
Broadway Danny Rose,Comedy,95
Hip Hop Hits,Music,150
Ninja Blender Duo for a Healthy Holiday!,Consumer,30
Worlds Dumbest ...,Reality,60
Killer Kids,Crime,30
All Hands on Deck,Musical comedy,100
All in the Family,Sitcom,30
NFL AM,Sports non-event,240
WWE Slam City,Pro wrestling,13
How Do They Do It?,Documentary,30
Gunsmoke,Drama,60
The Andy Griffith Show,Sitcom,30
Newswatch 16 at 5:30pm,News,30
Sixers Pregame,Sports non-event,30
Say Yes to the Dress,Reality,30
State Department Briefing,Special,30
The Rundown With José Díaz-Balart,Politics,120
News Update North America,,30
Movie,Special,120
Forever,Crime drama,60
The Killer Speaks,Crime,60
House,Drama,60
Mantracker,Reality,60
SportsNet Central,Sports talk,30
Every Witch Way,Children,30
Water for Elephants,Drama,150
Wag the Dog,Comedy-drama,105
College Basketball,Sports event,120
Storm Stories,Documentary,30
The Family Stone,Romance-comedy,110
Rio 2,Children,120
U.S. Bounty Hunters,Reality,30
The Real World: Skeletons,Reality,60
Movie Loft,Community,30
Baggage,Game show,30
Made in Milwaukee,Home improvement,30
The Sting,Comedy-drama,135
Rules of Engagement,Sitcom,30
Your World With Neil Cavuto,Bus./financial,60
The Prime of Miss Jean Brodie,Drama,115
Breaking Bald,Consumer,30
Rural Evening News,News,30
MC Rock Hits,Music,240
CBS Morning News,News,30
Blue Steel,Suspense,110
ESPNU Film Room,Sports non-event,60
Curb Your Enthusiasm,Comedy,30
La Gata,Soap,60
Early Start With John Berman,News,60
Cafeina,Music,120
Tony Little Body by Bison,Shopping,60
Marvel Super Heroes: Maximum Overload,Children,4
PSEs Wild Outdoors,Outdoors,30
The Nile,Nature,60
WENY HD News,News,60
House Hunters International,Reality,30
Health Images,Health,30
Man v. Food,Travel,30
Inside City,Sports non-event,30
Kick-Ass 2,Action,105
Keith Craft,Religious,30
Grimm,Drama,60
Peppa Pig,Children,30
Cajun Justice,Reality,30
The Gunfather,Reality,30
Whats New Scooby-Doo?,Children,30
UFC Main Event,Mixed martial arts,60
The Green Hornet,Action,150
Shark Powered Lift Away for the Holiday!,Consumer,30
Pawnography,Game show,29
Journey to the Earths Core,Special,120
Loud Mouths,Sports talk,30
Gallipoli: The First D-Day,Special,60
Action News 6PM,News,30
Philosophy: Beauty,Shopping,60
The Walking Dead,Drama,60
Driving Miss Daisy,Comedy-drama,105
Community,Sitcom,30
Africas Thunder River,Special,120
Legislative Report With Mario Scavello,Public affairs,30
Around the NFL,Sports talk,60
Secretary,Drama,115
Picker Sisters,Reality,60
Perry Mason,Drama,60
Obsession: Dark Desires,Crime,60
Love It or List It,Home improvement,60
Dish Nation,Talk,30
Intervention,Reality,60
A River Runs Through It,Drama,120
At Home with Dan,Shopping,120
Hip Hops 50 Hottest in the Game,Music,60
The Bill Cunningham Show,Talk,60
Supernatural,Drama,60
Judge Hatchett,Reality,30
Further Adventures-Wilderness,Adventure,120
NASCAR Race Hub,Sports non-event,60
MonsterQuest,History,60
Max & Shred,Children,30
Tulip Curl from Instyler!,Consumer,30
Austenland,Romance-comedy,100
Today in New York,News,30
30 Rock,Sitcom,29
Sexier Holiday Hair,Consumer,30
Pocono Mountains Today,Special,30
Little Women: LA,Reality,62
Janes Journey,Special,120
The Patty Duke Show,Sitcom,30
Free NutriBullet offer!,Consumer,30
Natural World,Anthology,60
Secrets of the Arsenal,Documentary,60
Dog With a Blog,Children,30
Antitrust,Suspense,125
News 8 at Noon,News,30
Live Soul,Music,60
Next Day Air,Comedy-drama,90
A Different Loyalty,Drama,110
Battlefield Detectives,Documentary,60
CBS 2 News at 6PM,News,30
Building Alaska,Reality,60
Closing Bell,Bus./financial,120
My Life Without Me,Drama,110
NFL RUSH,Children,30
Six Star Knife Set,Consumer,30
45th Annual GMA Dove Awards,Special,120
Countdown to the Closing Bell-Liz Claman,Bus./financial,60
MC Adult Alternative,Music,120
Amazing Facts Presents,Religious,30
Heads of State,Musical,60
Transform your home today fast & easy!,Consumer,30
Worst Cooks in America,Reality,60
The Devil You Know,Documentary,30
Dateline NBC,Newsmagazine,60
The Librarians,Drama,60
Survivorman,Reality,60
I Am Angus,Special,60
Camp Lakebottom,Children,30
Cocaine Cowboys,Documentary,120
Action News 5PM,News,60
Murder Book,Documentary,60
The King of Queens,Sitcom,30
CHiPs,Crime drama,60
Lone Star Mystery: A Disappeared Special,Special,60
Live Cameras and Forecast Maps,Weather,11
The Bible,Drama,172
Good Morning America,Talk,120
Holmes Makes It Right,Reality,60
Motives & Murders: Cracking the Case,Crime,60
Criminal Minds,Crime drama,60
